_time,index,host,user,action,logon_type,src,dest,share,status,event_id,scenario
2026-05-31T01:02:10Z,auth,WKS-201,alice,logon,2,WKS-201,WKS-201,,success,4624,benign-noise
2026-05-31T01:05:44Z,auth,WKS-202,bob,logon,2,WKS-202,WKS-202,,success,4624,benign-noise
2026-05-31T01:30:00Z,auth,BKP-09,svc_monitor,logon,3,BKP-09,FS-01,C$,success,4624,benign-noise
2026-05-31T01:31:12Z,auth,BKP-09,svc_monitor,logon,3,BKP-09,FS-02,C$,success,4624,benign-noise
2026-05-31T02:11:04Z,auth,WKS-014,svc_backup,logon,3,WKS-014,FS-01,admin$,success,4624,lateral-movement
2026-05-31T02:11:47Z,auth,WKS-014,svc_backup,logon,3,WKS-014,FS-02,admin$,success,4624,lateral-movement
2026-05-31T02:12:33Z,auth,WKS-014,svc_backup,logon,3,WKS-014,DC-01,admin$,success,4624,lateral-movement
2026-05-31T02:13:58Z,auth,WKS-014,svc_backup,logon,3,WKS-014,APP-03,admin$,success,4624,lateral-movement
2026-05-31T02:14:40Z,auth,WKS-014,svc_backup,logon,3,WKS-014,APP-04,admin$,success,4624,lateral-movement
2026-05-31T02:40:00Z,auth,WKS-014,jdoe,logon,2,WKS-014,WKS-014,,success,4624,benign-noise
